['April 16', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['April 29', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['August 14', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['August 15', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['August 16', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['August 17', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['August 12', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['August 18', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['August 19', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['August 21', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['August 25', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['April 13', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['August 23', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['August 24', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['April 28', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['April 22', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['August 31', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['April 2', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['August 28', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['April 9', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['August 29', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['August 30', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['April 18', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['April 23', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['April 14', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['April 17', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['August 5', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['August 11', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['April 5', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['April 20', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['April 19', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['April 8', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['April 3', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['August 10', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['April 27', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['April 11', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['August 4', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['April 21', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['April 10', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['April 25', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['April 24', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['April 7', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['December', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['December 7', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['December 15', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['December 8', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['December 28', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['December 31', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['December 16', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['December 25', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['December 17', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['December 18', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['December 6', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['December 5', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['December 4', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['December 3', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['December 2', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['December 1', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['December 24', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['December 26', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['December 11', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['December 27', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['December 9', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['December 12', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['December 30', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['December 10', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['December 22', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['December 19', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['December 20', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['December 21', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['December 14', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['December 13', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['December 29', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['February', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['February 1', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['February 14', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['February 25', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['February 29', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['February 10', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['February 19', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['February 24', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['February 23', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['February 22', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['February 21', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['February 15', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['February 6', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['February 20', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['February 7', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['February 5', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['February 26', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['February 12', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['February 17', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['February 13', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['February 11', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['February 27', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['February 28', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['February 2', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['February 3', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['February 4', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['February 8', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['February 9', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['February 16', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['February 18', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
